謝安琪4gtv,#genre#
北京卡酷少儿,https://kaytse4gtv.koyeb.app/itv/bestzb/7851974109718180595
湖南快乐垂钓,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031206
湖南茶频道,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031209
上海 ICS 外语,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000030951
上海第一财经,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000027146
上海东方财经,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000007000010003
上海东方影视,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000032212
上海都市,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000018926
上海法治天地,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000002000000014
上海哈哈炫动,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031123
上海五星体育,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000017540
上海新闻综合,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031110

其他,#genre#
华数 4K,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000003000004748
纯享 4K,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000011651
咪咕4K 1,https://kaytse4gtv.koyeb.app/itv/FifastbLive/3000000010000005180
咪咕4K 2,https://kaytse4gtv.koyeb.app/itv/FifastbLive/3000000010000015686
咪咕全民热练,https://kaytse4gtv.koyeb.app/itv/FifastbLive/3000000020000031315
求索动物,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000002000010046
求索纪录,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000002000032052
求索科学,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000002000032344
求索生活,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000002000003382

NewTV,#genre#
NewTV 精品综合,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000019008
NewTV 精品大剧,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000013968
NewTV 精品纪录,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000013730
NewTV 精品体育,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000014634
NewTV 精品萌宠,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000032328
NewTV 爱情喜剧,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000010
NewTV 超级电视剧,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000268003
NewTV 超级电影,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000003000012426
NewTV 超级体育,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000009601
NewTV 超级综艺,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000268002
NewTV 潮妈辣婆,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000018
NewTV 东北热剧,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000266013
NewTV 动作电影,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000018653
NewTV 古装剧场,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000024
NewTV 欢乐剧场,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000266012
NewTV 家庭剧场,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000008284
NewTV 金牌综艺,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000026167
NewTV 惊悚悬疑,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000024282
NewTV 军旅剧场,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000014
NewTV 军事评论,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000022
NewTV 魅力潇湘,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000006197
NewTV 明星大片,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000016
NewTV 农业致富,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000003
NewTV 武博世界,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000007
NewTV 炫舞未来,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000000515
NewTV 怡伴健康,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000266011
NewTV 中国功夫,https://kaytse4gtv.koyeb.app/itv/hnbblive/2000000003000000009
NewTV 黑莓电影,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000019624
NewTV 黑莓动画,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000004000021734
NewTV 哒啵电竞,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000032327
NewTV 哒啵赛事,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000003775

SiTV,#genre#
SiTV 动漫秀场,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031113
SiTV 都市剧场,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031111
SiTV 法治天地,https://kaytse4gtv.koyeb.app/itv/bestzb/9001547084732463424
SiTV 欢笑剧场,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000002000009455
SiTV 欢笑剧场-4K,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000007000010001
SiTV 金色学堂,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000010000026105
SiTV 劲爆体育,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000002000029972
SiTV 乐游,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031112
SiTV 魅力足球,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031207
SiTV 七彩戏剧,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031116
SiTV 生活时尚,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000002000019634
SiTV 游戏风云,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000011000031114

iHOT,#genre#
iHOT 爱电竞,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000230630
iHOT 爱谍战,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000070630
iHOT 爱动漫,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000280630
iHOT 爱都市,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000080630
iHOT 爱怀旧,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000260630
iHOT 爱经典,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000060630
iHOT 爱科幻,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000020630
iHOT 爱科学,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000160630
iHOT 爱浪漫,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000040630
iHOT 爱历史,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000150630
iHOT 爱旅行,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000250630
iHOT 爱奇谈,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000270630
iHOT 爱青春,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000100630
iHOT 爱赛车,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000240630
iHOT 爱体育,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000290630
iHOT 爱玩具,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000220630
iHOT 爱喜剧,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000010630
iHOT 爱悬疑,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000050630
iHOT 爱幼教,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000180630
iHOT 爱院线,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000006000030630
